id,question,context,answer,answer_start
1月1日,美國乳羊協會登錄的主要乳羊品種有哪些？,乳羊品種：目前經美國乳羊協會(ADGA)登錄的主要品種包括：撒能(Saanen)、阿爾拜因(Alpine)、吐根堡(Toggenburg)、努比亞(Nubian)、賴滿嬌(LaMancha)及歐伯哈斯利(Oberhasli)等六種，其他先進畜牧國家如英國、澳洲及紐西蘭等國，則以其中之前四種為主，法國則以阿爾拜因及撒能兩種為主，這些品種過去臺灣都曾自美國及紐、澳進口，但目前羊農所飼養的乳羊品種，已逐漸簡化成以阿爾拜因及撒能為主的趨勢，其中又以阿爾拜因佔70％為多數。,撒能 (Saanen)、阿爾拜因 (Alpine)、吐根堡 (Toggenburg)、努比亞 (Nubian)、賴滿嬌 (LaMancha)、歐伯哈斯利 (Oberhasli),30
1月2日,目前臺灣羊農主要飼養哪些乳羊品種？,乳羊品種：目前經美國乳羊協會(ADGA)登錄的主要品種包括：撒能(Saanen)、阿爾拜因(Alpine)、吐根堡(Toggenburg)、努比亞(Nubian)、賴滿嬌(LaMancha)及歐伯哈斯利(Oberhasli)等六種，其他先進畜牧國家如英國、澳洲及紐西蘭等國，則以其中之前四種為主，法國則以阿爾拜因及撒能兩種為主，這些品種過去臺灣都曾自美國及紐、澳進口，但目前羊農所飼養的乳羊品種，已逐漸簡化成以阿爾拜因及撒能為主的趨勢，其中又以阿爾拜因佔70％為多數。,阿爾拜因(Alpine)、撒能(Saanen),205
2月1日,阿爾拜因根據育種地域不同分為哪些品系？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,分為英國、法國、瑞士、洛克及澳洲,27
2月2日,在美國和臺灣，哪個阿爾拜因品種最為普遍？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,法國阿爾拜因(French Alpine),162
2月3日,阿爾拜因的發源地是在哪裡？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,法國阿爾卑斯山區,766
2月4日,阿爾拜因有哪些優點？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,體質強健，耐長途跋涉，適應不同氣候環境，耐粗放飼養，仔羊育成率高，母羊泌乳期長，產乳量高,777
2月5日,阿爾拜因在國際上的平均產乳量如何？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,"僅次於撒能，在美國一年305天的產乳量曾高達1,800公斤",836
2月6日,阿爾拜因在臺灣肉羊拍賣市場的活體價格比撒能羊高的原因是什麼？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,毛色以黑及褐色系列為多數，肥育完成的乳公羊價格高,880
2月7日,法國阿爾拜因的體型特徵是什麼？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上,266
2月8日,臺灣從哪裡進口阿爾拜因的冷凍精液？,阿爾拜因(Alpine)：阿爾拜因根據育種地域不同又可分為英國、法國、瑞士、洛克及澳洲等5個品系。英國阿爾拜因毛色為單一黑色，但在臉部兩側有白色條紋，尾根兩側的坐骨端及四肢膝蓋以下為白色。瑞士阿爾拜因現今正式以歐伯哈斯利(Oberhasli)品種登錄。洛克阿爾拜因由洛克夫人育成，現存頭數很少。目前無論在美國或臺灣地區，都以法國阿爾拜因(French Alpine)最為普遍。近年來，在澳洲育成及登錄一種全身為黑色的新品種，原登錄為Melan，現已更改為黑色阿爾拜因(Black Al-pine)，臺灣已有部分羊農引進。法國阿爾拜因為中至大型羊種，母羊體高至少76公分以上，體重57公斤以上；公羊體高至少81公分以上，體重77公斤以上。公母羊均有鬍鬚、鼻樑平直、耳朵直立、眼球略為突出、有角或無角、機警敏捷，雖然對飼主溫馴，但對其他羊隻的攻擊性較其他乳羊品種為強。在美國的法國阿爾拜因沒有固定的毛色，由黑、白、紅棕、灰色及褐色等混雜形成不同毛色組合，但不宜出現土根堡及撒能的典型毛色。美國的阿爾拜因一般可歸納成Cou Blanc、Cou Clair、Cou Noir、Pied、Sundgau、Chamoisee、Two-tone Chamoisee及Broken Chamoisee等8種不同色型，其中5種較普遍的色型如下：Cou Blanc：頸部及肩部為白色，後軀為黑色系；Cou Clair：頸部為褐色，後軀為黑色；Cou Noir：前軀為黑色，後軀為白色；Chamoisee：全身為栗色或褐色，但在頭部、頸部、背脊線及腿部為黑色：Sundgau：全身黑色，但在臉部兩側有白線條，四肢膝蓋以下及尾根兩側為白色，如英國阿爾拜因。不過現今在法國的阿爾拜因、僅有選留單一褐色鑲黑邊(Chamoisee)的毛色。阿爾拜因最初的發源地為法國阿爾卑斯山區，因此體質強健，耐長途跋，對不同氣候環境的適應性良好，非常耐粗放飼養，仔羊的育成率也高。母羊的泌乳期長，在國際上的平均產乳量僅次於撒能，在美國一年305天的產乳量曾高達1，800公斤。由於阿爾拜因具有上述的優點，毛色又以黑及褐色系列為多數，肥育完成的乳公羊在臺灣肉羊拍賣市場每公斤的活體價格比撒能羊高，因此深受羊農的歡迎，已有漸取代能成為乳羊主流品種的趨勢。過去多年來自美國引進臺灣的阿爾拜因頭數最多，也有少數來自澳洲近年來，畜產試驗所恆春分所及民間業者，已開始自法國進口褐色阿爾拜因冷凍精液，希望採用矯正配種方式，在乳量及乳成分方面進行遺傳改良。 ,法國,1007
